mra_phase,task_id,worker_id,time,action,shuffle_mra_end
0_0_0,MRA_MAP,0,0.001,START,
0_5_0,MRA_MAP,1,0.004,START,
0_6_0,MRA_MAP,2,0.007,START,
0_7_0,MRA_MAP,3,0.009,START,
0_4_0,MRA_MAP,4,0.012,START,
0_18_0,MRA_MAP,5,0.014,START,
0_16_0,MRA_MAP,6,0.017,START,
0_23_0,MRA_MAP,7,0.020,START,
0_8_0,MRA_MAP,8,0.022,START,
0_3_0,MRA_MAP,9,0.025,START,
0_2_0,MRA_MAP,10,0.027,START,
0_9_0,MRA_MAP,11,0.030,START,
0_20_0,MRA_MAP,12,0.033,START,
0_33_0,MRA_MAP,13,0.035,START,
0_10_0,MRA_MAP,14,0.038,START,
0_1_0,MRA_MAP,15,0.040,START,
0_11_0,MRA_MAP,16,0.043,START,
0_27_0,MRA_MAP,17,0.046,START,
0_19_0,MRA_MAP,18,0.048,START,
0_24_0,MRA_MAP,19,0.051,START,
0_13_0,MRA_MAP,20,0.053,START,
0_28_0,MRA_MAP,21,0.056,START,
0_29_0,MRA_MAP,22,0.059,START,
0_15_0,MRA_MAP,23,0.061,START,
0_12_0,MRA_MAP,24,0.064,START,
0_21_0,MRA_MAP,25,0.066,START,
0_17_0,MRA_MAP,26,0.069,START,
0_25_0,MRA_MAP,27,0.072,START,
0_66_0,MRA_MAP,28,0.074,START,
0_65_0,MRA_MAP,29,0.077,START,
0_30_0,MRA_MAP,30,0.079,START,
0_64_0,MRA_MAP,31,0.082,START,
0_68_0,MRA_MAP,0,3.003,START,
0_14_0,MRA_MAP,1,3.005,START,
0_22_0,MRA_MAP,2,3.008,START,
0_26_0,MRA_MAP,3,3.010,START,
0_31_0,MRA_MAP,4,3.013,START,
0_46_0,MRA_MAP,6,3.018,START,
0_54_0,MRA_MAP,7,3.021,START,
0_32_0,MRA_MAP,8,3.023,START,
0_69_0,MRA_MAP,9,3.026,START,
0_38_0,MRA_MAP,10,3.029,START,
0_35_0,MRA_MAP,11,3.031,START,
0_77_0,MRA_MAP,12,3.034,START,
0_37_0,MRA_MAP,13,3.036,START,
0_34_0,MRA_MAP,14,3.039,START,
0_67_0,MRA_MAP,15,3.042,START,
0_36_0,MRA_MAP,16,3.044,START,
0_79_0,MRA_MAP,17,3.047,START,
0_78_0,MRA_MAP,18,3.049,START,
0_63_0,MRA_MAP,19,3.052,START,
0_39_0,MRA_MAP,20,3.055,START,
0_40_0,MRA_MAP,21,3.057,START,
0_81_0,MRA_MAP,22,3.060,START,
0_43_0,MRA_MAP,23,3.062,START,
0_41_0,MRA_MAP,24,3.065,START,
0_84_0,MRA_MAP,25,3.068,START,
0_49_0,MRA_MAP,26,3.070,START,
0_62_0,MRA_MAP,27,3.073,START,
0_82_0,MRA_MAP,28,3.075,START,
0_80_0,MRA_MAP,29,3.078,START,
0_42_0,MRA_MAP,30,3.081,START,
0_101_0,MRA_MAP,31,3.083,START,
0_12_0,MRA_MAP,24,53.762,END,0.000
0_14_1,MRA_MAP,24,54.087,START,
0_13_0,MRA_MAP,20,54.108,END,0.000
0_3_0,MRA_MAP,9,54.214,END,0.000
0_16_0,MRA_MAP,6,54.236,END,0.000
0_15_0,MRA_MAP,23,54.307,END,0.000
0_0_0,MRA_MAP,0,54.603,END,0.000
0_30_0,MRA_MAP,30,54.708,END,0.000
0_17_0,MRA_MAP,26,55.132,END,0.000
0_11_0,MRA_MAP,16,56.250,END,0.000
0_1_0,MRA_MAP,15,56.369,END,0.000
0_28_0,MRA_MAP,21,56.700,END,0.000
0_41_0,MRA_MAP,24,56.764,END,0.000
0_4_1,MRA_MAP,0,57.026,START,
0_47_0,MRA_MAP,6,57.042,START,
0_70_0,MRA_MAP,9,57.049,START,
0_89_0,MRA_MAP,15,57.065,START,
0_6_1,MRA_MAP,16,57.068,START,
0_22_1,MRA_MAP,20,57.078,START,
0_5_1,MRA_MAP,21,57.081,START,
0_48_0,MRA_MAP,23,57.086,START,
0_31_1,MRA_MAP,24,57.088,START,
0_51_0,MRA_MAP,26,57.094,START,
0_45_0,MRA_MAP,30,57.104,START,
0_39_0,MRA_MAP,20,57.109,END,0.000
0_69_0,MRA_MAP,9,57.215,END,0.000
0_46_0,MRA_MAP,6,57.237,END,0.000
0_43_0,MRA_MAP,23,57.308,END,0.000
0_29_0,MRA_MAP,22,57.322,END,0.000
0_23_0,MRA_MAP,7,57.524,END,0.000
0_68_0,MRA_MAP,0,57.604,END,0.000
0_42_0,MRA_MAP,30,57.709,END,0.000
0_20_0,MRA_MAP,12,57.767,END,0.000
0_9_0,MRA_MAP,11,57.840,END,0.000
0_49_0,MRA_MAP,26,58.133,END,0.000
0_24_0,MRA_MAP,19,58.186,END,0.000
0_2_0,MRA_MAP,10,58.464,END,0.000
0_66_0,MRA_MAP,28,59.011,END,0.000
0_36_0,MRA_MAP,16,59.252,END,0.000
0_19_0,MRA_MAP,18,59.304,END,0.000
0_8_0,MRA_MAP,8,59.360,END,0.000
0_67_0,MRA_MAP,15,59.370,END,0.000
0_21_0,MRA_MAP,25,59.435,END,0.000
0_40_0,MRA_MAP,21,59.701,END,0.000
0_33_0,MRA_MAP,13,59.989,END,0.000
0_18_1,MRA_MAP,0,60.027,START,
1_0_0,MRA_REDUCE,0,60.029,START,
1_1_0,MRA_REDUCE,3,60.035,START,
0_50_0,MRA_MAP,6,60.043,START,
1_2_0,MRA_REDUCE,6,60.044,START,
0_55_0,MRA_MAP,7,60.047,START,
1_3_0,MRA_REDUCE,7,60.048,START,
0_44_0,MRA_MAP,8,60.051,START,
1_4_0,MRA_REDUCE,8,60.052,START,
0_71_0,MRA_MAP,9,60.055,START,
1_5_0,MRA_REDUCE,9,60.056,START,
0_52_0,MRA_MAP,10,60.059,START,
1_6_0,MRA_REDUCE,10,60.060,START,
0_53_0,MRA_MAP,11,60.062,START,
1_7_0,MRA_REDUCE,11,60.064,START,
0_85_0,MRA_MAP,12,60.066,START,
1_8_0,MRA_REDUCE,12,60.068,START,
0_57_0,MRA_MAP,13,60.070,START,
1_9_0,MRA_REDUCE,13,60.072,START,
1_10_0,MRA_REDUCE,14,60.074,START,
0_105_0,MRA_MAP,15,60.077,START,
1_11_0,MRA_REDUCE,15,60.078,START,
0_59_0,MRA_MAP,16,60.081,START,
1_12_0,MRA_REDUCE,16,60.082,START,
1_13_0,MRA_REDUCE,17,60.085,START,
0_99_0,MRA_MAP,18,60.087,START,
1_14_0,MRA_REDUCE,18,60.088,START,
0_86_0,MRA_MAP,19,60.091,START,
1_15_0,MRA_REDUCE,19,60.092,START,
0_58_0,MRA_MAP,20,60.095,START,
1_16_0,MRA_REDUCE,20,60.096,START,
0_56_0,MRA_MAP,21,60.099,START,
1_17_0,MRA_REDUCE,21,60.100,START,
0_104_0,MRA_MAP,22,60.103,START,
1_18_0,MRA_REDUCE,22,60.104,START,
0_61_0,MRA_MAP,23,60.107,START,
1_19_0,MRA_REDUCE,23,60.108,START,
1_20_0,MRA_REDUCE,24,60.111,START,
0_103_0,MRA_MAP,25,60.113,START,
1_21_0,MRA_REDUCE,25,60.114,START,
0_60_0,MRA_MAP,26,60.117,START,
1_22_0,MRA_REDUCE,26,60.118,START,
1_23_0,MRA_REDUCE,27,60.121,START,
0_83_0,MRA_MAP,28,60.124,START,
1_24_0,MRA_REDUCE,28,60.125,START,
1_25_0,MRA_REDUCE,29,60.127,START,
0_74_0,MRA_MAP,30,60.130,START,
1_26_0,MRA_REDUCE,30,60.131,START,
1_27_0,MRA_REDUCE,31,60.134,START,
0_7_0,MRA_MAP,3,60.282,END,0.000
0_81_0,MRA_MAP,22,60.323,END,0.000
0_65_0,MRA_MAP,29,60.504,END,0.000
0_54_0,MRA_MAP,7,60.525,END,0.000
0_77_0,MRA_MAP,12,60.769,END,0.000
0_35_0,MRA_MAP,11,60.842,END,0.000
0_63_0,MRA_MAP,19,61.187,END,0.000
0_38_0,MRA_MAP,10,61.466,END,0.000
0_82_0,MRA_MAP,28,62.012,END,0.000
0_78_0,MRA_MAP,18,62.305,END,0.000
0_32_0,MRA_MAP,8,62.362,END,0.000
0_84_0,MRA_MAP,25,62.437,END,0.000
0_25_0,MRA_MAP,27,62.598,END,0.000
0_37_0,MRA_MAP,13,62.990,END,0.000
1_28_0,MRA_REDUCE,6,63.044,START,
0_100_0,MRA_MAP,7,63.048,START,
1_29_0,MRA_REDUCE,7,63.049,START,
0_92_0,MRA_MAP,8,63.052,START,
1_30_0,MRA_REDUCE,8,63.053,START,
1_31_0,MRA_REDUCE,9,63.056,START,
0_72_0,MRA_MAP,10,63.060,START,
1_32_0,MRA_REDUCE,10,63.061,START,
0_87_0,MRA_MAP,11,63.064,START,
1_33_0,MRA_REDUCE,11,63.065,START,
0_91_0,MRA_MAP,12,63.068,START,
1_34_0,MRA_REDUCE,12,63.069,START,
0_75_0,MRA_MAP,13,63.072,START,
1_35_0,MRA_REDUCE,13,63.073,START,
1_36_0,MRA_REDUCE,14,63.075,START,
1_37_0,MRA_REDUCE,15,63.078,START,
1_38_0,MRA_REDUCE,16,63.082,START,
1_39_0,MRA_REDUCE,17,63.086,START,
0_102_0,MRA_MAP,18,63.088,START,
1_40_0,MRA_REDUCE,18,63.090,START,
0_108_0,MRA_MAP,19,63.092,START,
1_41_0,MRA_REDUCE,19,63.094,START,
1_42_0,MRA_REDUCE,20,63.096,START,
1_43_0,MRA_REDUCE,21,63.100,START,
0_112_0,MRA_MAP,22,63.104,START,
1_44_0,MRA_REDUCE,22,63.105,START,
1_45_0,MRA_REDUCE,23,63.108,START,
1_46_0,MRA_REDUCE,24,63.112,START,
0_106_0,MRA_MAP,25,63.114,START,
1_47_0,MRA_REDUCE,25,63.116,START,
1_48_0,MRA_REDUCE,26,63.118,START,
0_90_0,MRA_MAP,27,63.122,START,
1_49_0,MRA_REDUCE,27,63.124,START,
0_107_0,MRA_MAP,28,63.126,START,
1_50_0,MRA_REDUCE,28,63.127,START,
0_88_0,MRA_MAP,29,63.130,START,
1_51_0,MRA_REDUCE,29,63.131,START,
1_52_0,MRA_REDUCE,30,63.134,START,
1_53_0,MRA_REDUCE,31,63.137,START,
0_27_0,MRA_MAP,17,63.207,END,0.000
0_26_0,MRA_MAP,3,63.284,END,0.000
0_64_0,MRA_MAP,31,63.415,END,0.000
0_80_0,MRA_MAP,29,63.505,END,0.000
0_10_0,MRA_MAP,14,63.671,END,0.000
0_62_0,MRA_MAP,27,65.599,END,0.000
0_76_0,MRA_MAP,14,66.077,START,
0_122_0,MRA_MAP,17,66.087,START,
0_129_0,MRA_MAP,27,66.124,START,
0_126_0,MRA_MAP,29,66.131,START,
0_155_0,MRA_MAP,31,66.138,START,
0_79_0,MRA_MAP,17,66.208,END,0.000
0_101_0,MRA_MAP,31,66.417,END,0.000
0_34_0,MRA_MAP,14,66.672,END,0.000
0_109_0,MRA_MAP,14,69.078,START,
0_123_0,MRA_MAP,17,69.088,START,
0_162_0,MRA_MAP,31,69.139,START,
0_14_0,MRA_MAP,24,107.786,END,0.000
0_14_1,MRA_MAP,24,107.786,END,0.000
0_50_1,MRA_MAP,24,108.131,START,
0_31_0,MRA_MAP,24,110.787,END,0.000
0_31_1,MRA_MAP,24,110.787,END,0.000
0_22_0,MRA_MAP,20,111.132,END,0.000
0_22_1,MRA_MAP,20,111.132,END,0.000
0_55_1,MRA_MAP,24,111.134,START,
0_70_0,MRA_MAP,9,111.239,END,0.000
0_48_0,MRA_MAP,23,111.332,END,0.000
0_45_0,MRA_MAP,30,111.733,END,0.000
0_51_0,MRA_MAP,26,112.157,END,0.000
0_6_0,MRA_MAP,16,113.275,END,0.000
0_6_1,MRA_MAP,16,113.275,END,0.000
0_89_0,MRA_MAP,15,113.394,END,0.000
0_5_0,MRA_MAP,21,113.724,END,0.000
0_5_1,MRA_MAP,21,113.724,END,0.000
0_73_0,MRA_MAP,9,114.078,START,
0_110_0,MRA_MAP,15,114.100,START,
0_47_1,MRA_MAP,16,114.104,START,
0_95_0,MRA_MAP,20,114.118,START,
0_111_0,MRA_MAP,21,114.122,START,
0_94_0,MRA_MAP,23,114.130,START,
0_114_0,MRA_MAP,26,114.141,START,
0_58_0,MRA_MAP,20,114.150,END,0.000
0_93_0,MRA_MAP,30,114.156,START,
0_71_0,MRA_MAP,9,114.244,END,0.000
0_61_0,MRA_MAP,23,114.353,END,0.000
0_74_0,MRA_MAP,30,114.759,END,0.000
0_60_0,MRA_MAP,26,115.180,END,0.000
0_59_0,MRA_MAP,16,116.288,END,0.000
0_105_0,MRA_MAP,15,116.406,END,0.000
0_56_0,MRA_MAP,21,116.743,END,0.000
0_170_0,MRA_MAP,9,117.079,START,
0_113_0,MRA_MAP,15,117.101,START,
0_115_0,MRA_MAP,16,117.105,START,
0_96_0,MRA_MAP,20,117.120,START,
0_116_0,MRA_MAP,21,117.124,START,
0_97_0,MRA_MAP,23,117.131,START,
0_134_0,MRA_MAP,26,117.142,START,
0_98_0,MRA_MAP,30,117.157,START,
0_104_0,MRA_MAP,22,117.366,END,0.000
0_85_0,MRA_MAP,12,117.801,END,0.000
0_53_0,MRA_MAP,11,117.873,END,0.000
0_86_0,MRA_MAP,19,118.226,END,0.000
0_52_0,MRA_MAP,10,118.496,END,0.000
0_83_0,MRA_MAP,28,119.060,END,0.000
0_99_0,MRA_MAP,18,119.343,END,0.000
0_44_0,MRA_MAP,8,119.389,END,0.000
0_103_0,MRA_MAP,25,119.482,END,0.000
0_57_0,MRA_MAP,13,120.024,END,0.000
0_4_2,MRA_MAP,8,120.077,START,
0_118_0,MRA_MAP,10,120.085,START,
0_117_0,MRA_MAP,11,120.088,START,
0_124_0,MRA_MAP,12,120.092,START,
0_100_1,MRA_MAP,13,120.096,START,
0_128_0,MRA_MAP,18,120.113,START,
0_18_2,MRA_MAP,19,120.117,START,
0_127_0,MRA_MAP,22,120.129,START,
0_121_0,MRA_MAP,25,120.140,START,
0_156_0,MRA_MAP,28,120.151,START,
0_112_0,MRA_MAP,22,120.367,END,0.000
0_91_0,MRA_MAP,12,120.803,END,0.000
0_87_0,MRA_MAP,11,120.874,END,0.000
0_108_0,MRA_MAP,19,121.227,END,0.000
0_72_0,MRA_MAP,10,121.497,END,0.000
0_107_0,MRA_MAP,28,122.063,END,0.000
0_102_0,MRA_MAP,18,122.344,END,0.000
0_92_0,MRA_MAP,8,122.390,END,0.000
0_106_0,MRA_MAP,25,122.484,END,0.000
0_75_0,MRA_MAP,13,123.025,END,0.000
0_119_0,MRA_MAP,8,123.078,START,
0_120_0,MRA_MAP,10,123.086,START,
0_130_0,MRA_MAP,11,123.090,START,
0_163_0,MRA_MAP,12,123.094,START,
0_131_0,MRA_MAP,13,123.098,START,
0_138_0,MRA_MAP,18,123.114,START,
0_146_0,MRA_MAP,19,123.118,START,
0_158_0,MRA_MAP,22,123.130,START,
0_125_0,MRA_MAP,25,123.141,START,
0_160_0,MRA_MAP,28,123.152,START,
0_88_0,MRA_MAP,29,123.557,END,0.000
0_90_0,MRA_MAP,27,125.648,END,0.000
0_154_0,MRA_MAP,27,126.150,START,
0_157_0,MRA_MAP,29,126.157,START,
0_126_0,MRA_MAP,29,126.559,END,0.000
0_129_0,MRA_MAP,27,128.650,END,0.000
0_180_0,MRA_MAP,27,129.151,START,
0_159_0,MRA_MAP,29,129.159,START,
0_122_0,MRA_MAP,17,129.248,END,0.000
0_155_0,MRA_MAP,31,129.471,END,0.000
0_76_0,MRA_MAP,14,129.710,END,0.000
0_136_0,MRA_MAP,14,132.105,START,
0_132_0,MRA_MAP,17,132.116,START,
0_165_0,MRA_MAP,31,132.167,START,
0_123_0,MRA_MAP,17,132.250,END,0.000
0_162_0,MRA_MAP,31,132.473,END,0.000
0_109_0,MRA_MAP,14,132.711,END,0.000
0_140_0,MRA_MAP,14,135.107,START,
0_133_0,MRA_MAP,17,135.117,START,
0_169_0,MRA_MAP,31,135.168,START,
0_50_0,MRA_MAP,24,161.830,END,0.000
0_50_1,MRA_MAP,24,161.830,END,0.000
0_141_0,MRA_MAP,24,162.156,START,
0_55_0,MRA_MAP,24,164.832,END,0.000
0_55_1,MRA_MAP,24,164.832,END,0.000
0_150_0,MRA_MAP,24,165.157,START,
0_95_0,MRA_MAP,20,168.173,END,0.000
0_73_0,MRA_MAP,9,168.267,END,0.000
0_94_0,MRA_MAP,23,168.376,END,0.000
0_93_0,MRA_MAP,30,168.785,END,0.000
0_114_0,MRA_MAP,26,169.203,END,0.000
0_47_0,MRA_MAP,16,170.312,END,0.000
0_47_1,MRA_MAP,16,170.312,END,0.000
0_110_0,MRA_MAP,15,170.429,END,0.000
0_111_0,MRA_MAP,21,170.766,END,0.000
0_181_0,MRA_MAP,9,171.103,START,
0_171_0,MRA_MAP,15,171.125,START,
0_135_0,MRA_MAP,16,171.129,START,
0_143_0,MRA_MAP,20,171.143,START,
0_139_0,MRA_MAP,21,171.147,START,
0_142_0,MRA_MAP,23,171.155,START,
0_144_0,MRA_MAP,26,171.165,START,
0_96_0,MRA_MAP,20,171.174,END,0.000
0_137_0,MRA_MAP,30,171.181,START,
0_170_0,MRA_MAP,9,171.269,END,0.000
0_97_0,MRA_MAP,23,171.377,END,0.000
0_98_0,MRA_MAP,30,171.786,END,0.000
0_134_0,MRA_MAP,26,172.205,END,0.000
0_115_0,MRA_MAP,16,173.313,END,0.000
0_113_0,MRA_MAP,15,173.430,END,0.000
0_116_0,MRA_MAP,21,173.767,END,0.000
0_183_0,MRA_MAP,9,174.104,START,
